Length (L),Edit Distance (ED),GC Range,Run 0 Size,Run 3 Size,Run 4 Size,Run 0 Iter,Run 3 Iter,Run 4 Iter
11,3,0-0,35604,32145,34785,Iter1,Iter1,Iter1
11,3,0.3-0.7,27834,25973,27511,Iter1,Iter1,Iter1
11,4,0-0,2711,2477,2626,Iter900_Random,Iter856_Random,Iter959_Random
11,4,0.3-0.7,2299,2171,2282,Iter818_Random,Iter851_Random,Iter948_Random
12,3,0-0,127492,112916,123064,Iter5_Random,Iter6_Random,Iter29_Random
12,3,0.3-0.7,110357,100648,109259,Iter6_Random,Iter47_Random,Iter30_Random
12,4,0-0,8389,7729,8255,Iter39_Random,Iter23_Random,Iter24_Random
12,4,0.3-0.7,7642,7228,7643,Iter45_Random,Iter17_Random,Iter18_Random
13,3,0-0,459517,404495,448765,Iter6_Random,Iter7_Random,Iter3_Random
13,3,0.3-0.7,419634,380716,410308,Iter3_Random,Iter3_Random,Iter10_Random
13,4,0-0,27234,25026,26714,Iter4_Random,Iter9_Random,Iter10_Random
13,4,0.3-0.7,25848,23933,25607,Iter4_Random,Iter3_Random,Iter6_Random
14,3,0-0,1692184,1473169,1649965,Iter2_RandomBias,Iter2_RandomBias,Iter3_Random
14,3,0.3-0.7,1395989,1277863,1367268,Iter1,Iter3_Random,Iter1
